,Country,Year,Commodity,Flow,Trade (USD)
398,Botswana,2009,Articles of rare earths/metals nes,Export,5399.0
399,Botswana,2008,Articles of rare earths/metals nes,Import,129626.0
400,Botswana,2008,Articles of rare earths/metals nes,Export,7114.0
401,Botswana,2007,Articles of rare earths/metals nes,Import,82585.0
402,Botswana,2007,Articles of rare earths/metals nes,Export,3076.0
403,Botswana,2006,Articles of rare earths/metals nes,Import,52908.0
404,Botswana,2006,Articles of rare earths/metals nes,Export,4175.0
405,Botswana,2005,Articles of rare earths/metals nes,Import,38841.0
406,Botswana,2005,Articles of rare earths/metals nes,Export,165.0
407,Botswana,2004,Articles of rare earths/metals nes,Import,11551.0
408,Botswana,2003,Articles of rare earths/metals nes,Import,12453.0
409,Botswana,2003,Articles of rare earths/metals nes,Export,40.0
410,Botswana,2002,Articles of rare earths/metals nes,Import,4809.0
411,Botswana,2001,Articles of rare earths/metals nes,Import,2906.0
412,Botswana,2000,Articles of rare earths/metals nes,Import,13891.0
413,Brazil,2018,Articles of rare earths/metals nes,Import,1943259.0
414,Brazil,2018,Articles of rare earths/metals nes,Export,140007082.0
415,Brazil,2017,Articles of rare earths/metals nes,Import,702109.0
416,Brazil,2017,Articles of rare earths/metals nes,Export,113183688.0
417,Brazil,2016,Articles of rare earths/metals nes,Import,1545545.0
